count,time_stamp,adc,sipm_voltage,deadtime,temperatureC
636,3723211,217,37.04,0,24.01
637,3724375,408,90.57,5,24.01
638,3724539,376,76.43,10,24.23
639,3731339,319,57.64,16,24.01
640,3746847,307,54.48,26,24.34
641,3751013,376,76.43,32,24.34
642,3754508,192,32.67,38,24.34
643,3756352,384,80.08,44,24.01
644,3757112,192,32.67,50,24.34
645,3758433,307,54.48,55,24.01
646,3758456,325,59.05,60,24.01
647,3759173,368,72.93,65,24.01
648,3761255,287,50.23,72,24.44
649,3776121,127,24.18,80,24.23
650,3785361,473,126.29,88,24.23
651,3787593,291,50.97,93,24.34
652,3790261,294,51.51,98,24.01
653,3791014,79,20.03,103,24.34
654,3791699,289,50.47,108,24.01
655,3793390,384,80.08,113,24.23
656,3793684,255,43.96,118,24.01
657,3797044,527,155.96,123,24.44
658,3809589,252,43.42,130,24.34
659,3813787,50,15.67,135,24.44
660,3817595,124,23.92,140,24.01
661,3820126,369,73.42,148,24.01
662,3825093,344,64.67,154,24.44
663,3836928,652,262.1,161,24.23
664,3845015,255,43.96,168,24.23
665,3845445,287,50.23,173,24.44
666,3847833,345,64.98,178,24.01
667,3849203,263,45.37,184,24.44
668,3852973,319,57.64,192,24.01
669,3867901,313,56.02,201,24.34
670,3875414,131,24.54,213,24.34
671,3879708,348,65.64,221,24.01
672,3882579,419,97.2,226,24.01
673,3892946,451,113.08,237,24.44
674,3895794,371,73.82,245,24.01
675,3897978,419,97.2,251,23.91
676,3899303,352,66.89,257,24.34
677,3905562,327,59.28,262,24.44
678,3906547,430,101.41,267,24.23
679,3908071,231,39.55,272,24.44
680,3908096,344,64.67,277,24.01
681,3908479,527,155.96,282,24.34
682,3914953,325,59.05,288,24.44
683,3923997,319,57.64,293,24.01
684,3928391,359,69.86,299,24.44
685,3933894,195,33.17,306,24.34
686,3939784,255,43.96,311,24.23
687,3943424,265,45.75,318,24.44
688,3947618,255,43.96,324,24.01
689,3952373,353,67.64,334,24.23
690,3959928,312,55.68,341,24.23
691,3969675,376,76.43,349,24.44
692,3972473,399,87.3,355,24.44
693,3973156,359,69.86,360,24.23
694,3974351,319,57.64,365,24.44
695,3977618,249,42.85,371,24.34
696,3987526,287,50.23,378,24.34
697,4002177,415,95.0,388,24.34
698,4006145,329,59.91,393,24.01
699,4010958,281,48.9,399,24.44
700,4014612,312,55.68,406,24.23
701,4020147,224,38.29,411,24.01
702,4024133,254,43.77,416,24.34
703,4028208,391,82.35,421,24.01
704,4040563,335,61.77,427,24.01
705,4041299,368,72.93,432,24.34
706,4049855,414,93.93,437,24.01
707,4051588,203,34.56,444,24.44
708,4062061,271,46.93,452,24.34
709,4079687,259,44.69,463,24.34
710,4083517,524,150.73,468,24.44
711,4086921,335,61.77,475,24.01
712,4102295,271,46.93,484,24.44
713,4104465,255,43.96,490,24.01
714,4111445,295,51.75,496,24.23
715,4113255,301,53.09,502,24.01
716,4113435,432,101.61,507,24.01
717,4113901,432,101.61,512,24.34
718,4116223,743,466.23,520,24.34
719,4116947,270,46.71,525,24.23
720,4120132,415,95.0,530,24.34
721,4123873,123,23.83,535,24.01
722,4127319,335,61.77,542,24.44
723,4128162,511,149.39,547,24.23
724,4131467,231,39.55,553,24.34
725,4139824,240,41.21,560,24.01
726,4140255,435,104.92,565,24.23
727,4144835,652,262.1,572,24.34
728,4145446,229,39.22,577,24.23
729,4149275,307,54.48,583,24.44
730,4150470,344,64.67,588,24.01
731,4151663,323,58.48,593,24.23
732,4153245,188,32.01,600,24.34
733,4166007,409,91.12,607,24.44
734,4169616,433,104.37,613,23.91
735,4171880,551,164.56,618,24.01
736,4174891,248,42.69,626,24.34
737,4180872,654,259.18,635,24.34
738,4185440,319,57.64,641,24.01
739,4187359,499,141.24,647,24.44
740,4190662,423,97.36,653,24.01
741,4192471,295,51.75,660,24.44
742,4195228,355,68.3,666,24.01
743,4197697,300,52.79,671,24.44
744,4201041,96,21.67,676,24.01
745,4201635,240,41.21,681,24.23
746,4204230,143,25.74,687,24.23
747,4206051,294,51.51,692,24.01
748,4206192,327,59.28,697,24.34
749,4214735,455,117.03,704,24.44
750,4216293,352,66.89,709,24.01
751,4226834,123,23.83,716,24.01
752,4229230,295,51.75,724,24.01
753,4242801,216,36.85,733,24.01
754,4244173,518,151.06,739,24.01
755,4247618,332,61.17,746,24.01
756,4248295,240,41.21,751,24.44
757,4248483,390,82.7,756,24.01
758,4251523,384,80.08,762,24.44
759,4251672,352,66.89,767,24.01
760,4256192,344,64.67,772,23.91
761,4280940,67,18.51,781,24.34
762,4285092,240,41.21,786,24.34
