count,time_stamp,adc,sipm_voltage,deadtime,temperatureC
1,4903,263,45.37,0,24.98
2,5108,225,38.48,5,24.87
3,5357,127,24.18,10,24.66
4,5443,408,90.57,15,25.20
5,7581,248,42.69,20,24.98
6,8512,332,61.17,25,24.98
7,9150,236,40.44,30,24.98
8,10311,63,17.91,35,24.98
9,10606,60,17.43,40,24.77
10,12448,120,23.58,45,24.98
11,15556,166,28.62,50,24.98
12,20088,78,19.92,55,24.98
13,20192,83,20.46,60,24.98
14,20433,124,23.92,65,24.98
15,24520,53,16.22,70,24.98
16,32764,195,33.17,75,24.87
17,34964,167,28.76,80,24.98
18,37213,124,23.92,85,24.98
19,39464,463,119.23,90,24.87
20,39783,408,90.57,95,25.20
21,40264,63,17.91,100,24.98
22,43750,194,33.00,105,24.98
23,43786,113,23.02,110,24.66
24,43832,204,34.73,115,24.98
25,45634,177,30.25,120,24.66
26,46297,67,18.51,125,24.98
27,50352,114,23.10,130,24.98
28,50435,120,23.58,135,24.98
29,50583,50,15.67,140,24.98
30,53551,135,24.92,145,24.98
31,53577,73,19.32,150,24.87
32,54292,60,17.43,155,24.98
33,55393,71,19.06,160,24.98
34,55705,175,29.94,165,24.98
35,55886,67,18.51,170,25.41
36,58491,177,30.25,175,24.98
37,62523,62,17.75,180,24.98
38,62999,96,21.67,185,24.77
39,66537,344,64.67,190,24.98
40,68733,291,50.97,195,24.66
41,71565,201,34.22,200,24.66
42,71616,98,21.83,205,24.66
43,72936,376,76.43,210,24.87
44,79154,496,144.49,215,24.98
45,79734,323,58.48,220,25.20
46,79749,387,81.05,225,24.98
47,80330,92,21.32,230,24.87
48,81824,194,33.00,235,24.98
49,82289,108,22.63,240,24.98
50,83045,179,30.55,245,24.87
51,85262,98,21.83,250,24.77
52,87367,96,21.67,255,24.77
53,87412,51,15.86,260,24.98
54,87639,103,22.23,265,24.55
55,89834,71,19.06,270,24.98
56,92000,332,61.17,275,24.98
57,92305,472,125.87,280,24.98
58,93832,113,23.02,285,24.98
59,96044,270,46.71,290,24.98
60,99135,120,23.58,295,24.66
61,100322,88,20.96,300,24.98
62,101339,166,28.62,305,24.98
63,101479,99,21.91,310,24.66
64,102042,422,97.97,315,24.98
65,102265,57,16.93,320,24.66
66,104987,67,18.51,325,24.98
67,105128,65,18.22,330,24.98
68,105943,88,20.96,336,24.98
69,106737,127,24.18,341,24.98
70,106981,255,43.96,346,24.98
71,107718,240,41.21,351,25.20
72,108210,518,151.06,356,24.98
73,108760,63,17.91,362,24.98
74,109690,112,22.94,367,24.87
75,110166,103,22.23,372,24.55
76,110350,543,164.77,377,24.98
77,110755,451,113.08,382,25.41
78,111443,126,24.09,387,24.98
79,111619,88,20.96,392,24.98
80,114743,358,69.10,397,24.98
81,116254,51,15.86,402,24.98
82,116308,231,39.55,407,24.66
83,119680,108,22.63,412,24.98
84,121358,113,23.02,417,24.98
85,123520,71,19.06,422,24.98
86,124820,121,23.66,427,24.98
87,126974,254,43.77,432,24.98
88,127020,89,21.05,437,24.98
89,128455,71,19.06,442,24.98
90,128621,206,35.07,447,24.55
91,129155,103,22.23,452,25.20
92,129281,85,20.67,457,25.20
93,129895,153,26.90,462,24.98
94,132029,51,15.86,467,24.98
95,132270,102,22.15,472,24.66
96,132477,99,21.91,477,24.98
97,134517,51,15.86,482,24.55
98,141310,179,30.55,487,24.66
99,148638,127,24.18,492,24.66
100,149043,79,20.03,497,24.98
101,150725,275,47.73,502,24.44
102,155916,67,18.51,507,24.98
103,157655,67,18.51,512,24.98
104,159609,106,22.47,517,24.98
105,161220,254,43.77,522,25.52
106,162801,78,19.92,527,24.66
107,164105,65,18.22,532,24.98
108,170869,62,17.75,538,24.98
109,171556,103,22.23,543,24.66
110,172203,57,16.93,548,24.66
111,172234,227,38.83,553,24.66
112,172678,60,17.43,558,24.66
113,173450,46,14.91,563,24.66
114,173861,71,19.06,568,24.98
115,174011,54,16.41,573,24.98
116,174061,140,25.42,578,24.98
117,174275,49,15.48,583,24.98
118,174646,83,20.46,588,24.98
119,174793,127,24.18,593,24.98
120,179651,188,32.01,598,24.66
121,182386,199,33.86,603,24.77
122,183611,108,22.63,608,24.98
123,183986,99,21.91,613,25.20
124,186078,56,16.76,618,24.66
125,186335,57,16.93,623,24.87
126,186841,352,66.89,628,24.98
127,186851,192,32.67,633,24.98
128,187829,531,160.62,638,24.98
129,188146,87,20.86,644,24.98
130,191540,60,17.43,649,24.66
131,192283,63,17.91,654,24.87
132,194961,145,25.96,659,24.98
133,195457,83,20.46,664,24.98
134,197263,124,23.92,669,24.98
135,198713,741,387.35,675,24.44
136,200113,83,20.46,680,24.98
137,200286,130,24.45,685,24.98
138,202400,49,15.48,691,24.98
139,205356,95,21.58,696,24.98
140,205644,99,21.91,701,25.20
141,205754,225,38.48,706,24.66
142,205990,83,20.46,711,24.66
143,206218,127,24.18,716,24.98
144,207671,435,104.92,721,24.98
