count,time_stamp,adc,sipm_voltage,deadtime,temperatureC
1,61759,51,15.86,0,22.19
2,61766,66,18.36,6,22.19
3,61772,71,19.06,11,22.29
4,61789,111,22.86,27,22.19
5,61847,270,46.71,85,22.19
6,61868,192,32.67,103,22.19
7,61875,184,31.36,109,22.29
8,61899,142,25.64,132,22.19
9,62232,159,27.66,463,22.29
10,62238,176,30.09,468,22.19
11,62246,167,28.76,475,22.19
12,62264,159,27.66,490,22.29
13,62296,143,25.74,519,22.19
14,62327,143,25.74,548,22.19
15,62357,147,26.19,576,22.19
16,62390,135,24.92,606,22.29
17,62420,124,23.92,634,22.19
18,63772,50,15.67,828,22.29
19,68413,50,15.67,5121,22.51
20,71483,48,15.29,8049,22.83
21,72689,60,17.43,8709,22.62
1,74192,152,26.78,0,22.40
2,74199,209,35.61,5,22.51
3,74249,207,35.26,10,22.40
4,74275,134,24.82,15,22.29
5,75916,167,28.76,20,22.40
6,75924,83,20.46,25,22.29
7,75932,135,24.92,30,22.29
1,2478,1023,2152.99,0,22.51
2,55566,176,30.09,26062,22.83
3,55578,204,34.73,26067,22.83
4,55618,173,29.64,26072,22.83
5,55641,207,35.26,26077,22.83
6,55661,176,30.09,26082,23.05
7,55683,174,29.79,26087,22.83
8,55698,172,29.49,26101,22.83
9,55738,1023,2152.99,26131,22.72
10,57459,207,35.26,26157,22.94
1,48217,49,15.48,0,22.51
2,51356,140,25.42,2813,22.94
3,51384,1023,2152.99,2818,22.94
4,51600,48,15.29,2823,22.51
5,54149,1023,2152.99,4561,22.51
6,55188,231,39.55,4566,22.51
7,56442,1023,2152.99,4571,22.51
8,56665,176,30.09,4576,22.51
9,56906,48,15.29,4581,22.51
10,57421,51,15.86,4586,22.62
11,57523,263,45.37,4591,22.62
12,58561,1023,2152.99,4596,22.51
13,63483,62,17.75,4601,22.62
1,9673,48,15.29,0,22.51
1,59734541,146,26.08,0,24.44
2,59734575,139,25.32,5,24.44
